location,lat,lon,region
Jennacubbine,-31.46,116.57,Northam
Cunderdin,-31.64,117.13,Northam
Eradu,-28.68,115,Geraldton
Esperance,-33.861111,121.87,Esperance
Northam,-31.653056,116.666111,Northam
Arrowsmith East,-29.5426991,115.08,Eneabba
Muresk,-31.75,116.68,Northam
Mingenew,-29.198983,115.4196795,Mingenew
East Buntine,-29.9569931,116.0078397,East Buntine
Regans Ford,-30.9550077,115.4672443,Dandaragan
Wongan Hills,-30.8300755,116.5607634,Northam
York,-31.8738281,116.7063546,Northam
Dandaragan,-30.6145836,115.4623227,Dandaragan
Southern Brook,-31.5536032,116.6960806,Northam
Geraldton,-28.7758545,114.5761815,Geraldton
Badgingarra,-30.4416626,115.0543751,Dandaragan
Meckering,-31.6055053,116.8460894,Northam
Mount Barker,-34.622241,117.3576232,Albany
East Chapman,-28.687164,114.6632049,Geraldton
South Perth,-32.0688901,115.7672201,Perth
Dongara,-29.242515,114.8996558,Geraldton
Eneabba,-29.815115,114.7178742,Eneabba
Carnamah,-29.7098414,115.3106049,Eneabba
WA,-24.1447012,111.862273,WA
Murdoch,-32.0690924,115.8197502,Perth
North Stirlings,-34.187309,117.9110711,Albany
Yuna,-28.2433589,114.9223046,Geraldton
France,46.1369043,-2.4348651,France
USA,36.2152546,-113.6923823,USA
